lat,long,compon_n,compon_e,erro_n,erro_e
32,-110,-0.0079,-0.009,0.0006,0.0016
32,-109,-0.0074,-0.0091,0.0006,0.0016
32,-108,-0.0092,-0.0109,0.0027,0.0011
32,-107,-0.0087,-0.011,0.0027,0.0011
32,-106,-0.0082,-0.0111,0.0027,0.0011
31,-110,-0.0079,-0.0084,0.0006,0.0016
31,-109,-0.0074,-0.0085,0.0006,0.0016
31,-108,-0.0084,-0.0093,0.0028,0.0019
31,-107,-0.0087,-0.0104,0.0027,0.0011
31,-106,-0.0082,-0.0105,0.0027,0.0011
31,-105,-0.0077,-0.0106,0.0027,0.0011
30,-110,-0.0079,-0.0078,0.0006,0.0016
30,-109,-0.0089,-0.0085,0.0028,0.0019
30,-108,-0.0088,-0.0088,0.0031,0.0022
30,-107,-0.0083,-0.0088,0.0031,0.0022
30,-106,-0.0074,-0.009,0.0028,0.0019
30,-105,-0.0077,-0.01,0.0027,0.0011
30,-104,-0.007,-0.0104,0.0024,0.0011
29,-110,-0.0077,-0.0076,0.0005,0.0019
29,-109,-0.0088,-0.0085,0.0028,0.002
29,-108,-0.0088,-0.0082,0.0031,0.0022
29,-107,-0.0083,-0.0082,0.0031,0.0022
29,-106,-0.0073,-0.0087,0.0028,0.002
29,-105,-0.0071,-0.01,0.0026,0.0007
29,-104,-0.0076,-0.0102,0.0025,0.0009
29,-103,-0.0071,-0.0103,0.0025,0.0009
29,-102,-0.0066,-0.0103,0.0025,0.0009
28,-110,-0.0077,-0.0071,0.0005,0.0019
28,-109,-0.0072,-0.0072,0.0005,0.0019
28,-108,-0.0067,-0.0073,0.0005,0.0019
28,-107,-0.0078,-0.008,0.0028,0.002
28,-106,-0.008,-0.0092,0.0029,0.0007
28,-105,-0.0071,-0.0094,0.0026,0.0007
28,-104,-0.007,-0.0097,0.0024,0.0008
28,-103,-0.0071,-0.0097,0.0025,0.0009
28,-102,-0.0066,-0.0097,0.0025,0.0009
28,-101,-0.0061,-0.0098,0.0025,0.0009
27,-110,-0.0077,-0.0065,0.0005,0.0019
27,-109,-0.0072,-0.0066,0.0005,0.0019
27,-108,-0.0067,-0.0067,0.0005,0.0019
27,-107,-0.0066,-0.0084,0.0003,0.0006
27,-106,-0.0061,-0.0085,0.0003,0.0006
27,-105,-0.0056,-0.0086,0.0003,0.0006
27,-104,-0.0066,-0.009,0.0023,0.0007
27,-103,-0.0052,-0.0091,0.0004,0.0008
27,-102,-0.006,-0.0092,0.0024,0.0008
27,-101,-0.0057,-0.0097,0.0023,0.0002
27,-100,-0.0048,-0.0097,0.002,0.0003
26,-110,-0.0077,-0.0059,0.0005,0.0019
26,-109,-0.0072,-0.006,0.0005,0.0019
26,-108,-0.0071,-0.0078,0.0003,0.0006
26,-107,-0.0066,-0.0078,0.0003,0.0006
26,-106,-0.0061,-0.0079,0.0003,0.0006
26,-105,-0.0056,-0.008,0.0003,0.0006
26,-104,-0.0054,-0.0083,0.0006,0.0007
26,-103,-0.0052,-0.0085,0.0004,0.0007
26,-102,-0.004,-0.0089,0.0011,0.0003
26,-101,-0.0041,-0.0089,0.0005,0.0003
26,-100,-0.0041,-0.0091,0.0008,0.0004
26,-99,-0.0036,-0.0091,0.0008,0.0004
25,-109,-0.0073,-0.0059,0.0006,0.0019
25,-108,-0.0071,-0.0072,0.0003,0.0006
25,-107,-0.0066,-0.0073,0.0003,0.0006
25,-106,-0.0061,-0.0073,0.0003,0.0006
25,-105,-0.0056,-0.0074,0.0003,0.0006
25,-104,-0.0055,-0.008,0.0006,0.0004
25,-103,-0.0045,-0.0083,0.0011,0.0003
25,-102,-0.004,-0.0083,0.0011,0.0003
25,-101,-0.0035,-0.0084,0.0011,0.0003
25,-100,-0.0041,-0.0085,0.0008,0.0004
25,-99,-0.0036,-0.0085,0.0008,0.0004
25,-98,-0.0031,-0.0086,0.0008,0.0004
25,-79,0.002,-0.0081,0.0001,0.0009
